"TYPE","meanwp","meanct","meanwc"
"BVic",1.18869713245068,20.6887832120169,1.42270201934476
"AH1",3.08482417447343,21.8943660186805,3.51396225051297
"AH1",2.2094490353411,19.8605044165917,1.96450184099547
"AH1",2.20512039686301,18.7585269830039,1.96082324646181
"AH1",2.71431754183605,24.077865652568,2.76977480621674
"AH1",2.50223979931351,23.4849281112743,10.5633431799868
"BVic",1.02444736607787,20.5351806821042,1.15124479038171
"AH1",2.5224506492731,24.599777897833,5.08406071061687
"BVic",1.86666462803997,19.9842714065582,2.21411471403363
"AH1",2.79531451498665,14.9621124680429,5.21371123525925
"BVic",1.72689194824934,19.2571485743451,10.5341609128179
"BVic",1.88841246734288,20.7086390116765,3.0379732102646
"BVic",1.81966132998267,22.0965138012463,4.35708846564522
"AH1",1.36513240152803,21.5977994114712,1.24596744955284
"BVic",1.12304619338712,20.2943101252792,1.38576955358298
"BVic",1.6667173019466,20.1243152143508,2.99428239651513
"AH1",1.7479599206683,23.5265587190157,1.52036245323777
"BVic",3.22858768615187,18.5871385235753,11.419363763729
"AH1",3.22793057821177,11.5881283281681,4.64885186362291
"BVic",1.57618556019103,21.4098650326937,2.23357335553885
"BVic",1.66344778680949,16.8360008545648,2.4930888948815
"AH1",1.6772105574361,22.9714610313297,1.69399232986036
"AH1",2.19258969622666,18.3732290537505,1.95485888901233
"AH1",1.65444493175846,23.4153469810377,1.43575001882452
"BVic",1.79653183475962,20.6363859449603,2.30592423470067
"BVic",1.46248608994032,21.3643657371749,2.26464736711854
"BVic",1.06025411619736,20.398973965042,1.30223883143889
"AH1",1.85712896450323,27.2258116840208,12.1727165517115
"BVic",1.85504932505482,18.6456185801773,2.11616811560538
"AH1",2.70652075543811,21.5729800708396,4.29076683709605
"AH1",2.73303225016678,19.9486526513354,4.9938430128312
"AH1",1.55474846812843,23.0447655793083,1.34876502047081
"BVic",2.87560609452953,15.3940579864623,9.52852286963881
"AH1",3.04990548621371,18.1043405909902,6.50741211672867
"BVic",6.65404687341121,23.979719199932,9.62248502923117
"BVic",1.75186853007524,21.3849201117077,2.64908175601615
"AH1",2.86154431703166,19.8491525207545,4.39970655223689
"AH1",1.864112246732,23.8357471796683,1.97305780933133
"AH1",1.94481632174679,18.9391668158271,1.39036494829909
"BVic",1.36686333956276,21.0856372052036,2.0202969013575
"BVic",1.41387852721675,18.5771990061598,9.43418200460895
"BVic",2.40504863964644,18.0244913747819,5.29944283540387
"BVic",1.29548597399265,25.513853503603,17.5788804682106
"AH1",2.69737160078988,24.1453242963886,2.56342657981987
"AH1",1.99115520488609,20.8371849036855,1.82742138869466
"AH1",2.19440703702728,19.75735064154,4.24186097927597
"AH1",1.76458531570916,26.3333713337931,11.4061015708543
"BVic",1.68616848206174,20.5298927777523,2.53320003895394
"BVic",1.13116497338628,20.5606717827492,1.34661701420216
"BVic",1.53381274097749,21.5069037069288,1.99475067622895
"AH1",1.50306632475083,21.6822267982764,1.05903926845408
"BVic",13.2603139471126,27.6915386552862,12.2723271695248
"AH1",2.94833482971315,15.8518491154318,12.1802552854366
"BVic",1.67522992178697,18.0200338933854,2.18390223678613
"BVic",1.30840680611428,20.4706679910301,1.1694591219635
"BVic",1.76337643422781,20.0279791394597,4.45548660509713
"AH3",1.24496453040312,19.1019709637367,1.32376349885002
"AH1",2.08084185948976,22.9344430408747,2.03180236212779
