"age_cat","flua_h1n1pdm_gm","flua_h3n2_gm","flub_victoria_gm","flub_yamagata_gm"
"<5",5,80,5,5
"19-40",5,28.284,5,10
"19-40",160,40,5,28.284
"5-11",56.568,160,28.284,28.284
"5-11",113.137,160,80,56.568
"<5",113.137,80,56.568,28.284
">40",113.137,80,20,14.142
">40",113.137,40,80,113.137
"19-40",5,28.284,28.284,56.568
"19-40",5,80,5,28.284
"<5",226.274,226.274,5,14.142
">40",80,20,28.284,5
"12-18",320,80,10,28.284
"5-11",160,160,28.284,40
">40",56.568,5,56.568,10
"19-40",20,226.274,28.284,28.284
"12-18",140.845337784412,265.006081443948,101.899964437555,77.0197932477307
"5-11",160,905.096,56.568,14.142
">40",10,40,28.284,7.071
"19-40",320,452.548,28.284,80
"19-40",20,10,40,56.568
">40",160,56.568,14.142,14.142
"19-40",56.568,56.568,7.071,56.568
"<5",14.142,1280,226.274,5
"<5",5,113.137,5,40
"19-40",5,5,5,5
"12-18",80,28.284,113.137,28.284
"12-18",14.142,7.071,5,5
"5-11",29.6438129773568,182.61232112933,9.6113859023109,6.59282246454079
"<5",5,5,10,56.568
"19-40",5,14.142,7.071,28.284
"19-40",160,160,40,113.137
"5-11",160,640,5,40
"<5",6.07702786429459,5.2479543128836,8.22702252775203,65.9764552931203
">40",5,5,5,5
">40",7.071,5,28.284,7.071
"19-40",20,5,5,10
"5-11",5,5,10,10
"12-18",14.142,113.137,20,5
">40",113.137,28.284,5,5
"12-18",80,113.137,14.142,40
"5-11",80,452.548,56.568,5
">40",40,5,20,20
"12-18",160,7.071,5,14.142
"5-11",20,10,20,28.284
"<5",640,20,80,7.071
"<5",320,226.274,5,5
">40",7.071,226.274,5,5
"19-40",113.137,10,5,5
"12-18",14.142,113.137,5,10
"12-18",80,160,10,10
"5-11",640,226.274,226.274,40
"5-11",320,160,452.548,28.284
"19-40",113.137,160,56.568,160
">40",320,320,452.548,320
"5-11",226.274,640,113.137,40
"5-11",320,320,5,40
"5-11",640,452.548,40,113.137
">40",80,10,113.137,28.284
"5-11",160,320,56.568,7.071
"5-11",320,160,40,10
">40",40,5,5,5
"12-18",14.142,226.274,20,28.284
"5-11",184.116090295945,564.591005314648,277.87844992995,13.7541105056438
">40",5,40,40,14.142
">40",5,5,14.142,56.568
"19-40",56.568,5,5,5
"5-11",10,28.284,226.274,28.284
